INSTITUICAO_ENSINO_ALUNO_2020,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,INSTITUICAO_ENSINO_ALUNO_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,FASE_2022,INDE_2022,PEDRA_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
Escola Pública,10,0,1C,Não,7.2558353333333345,C,Ágata,8.000020000000001,8.3,5,8,7.291666666666667,7.333333333333333,5,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,17,3,7B,Sim,8.733751333333334,A,Topázio,8.33334,9.2,6875,7.666666666666667,9.0625,9.666670000000002,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,2,1H,Não,4.854723333333333,D,Quartzo,7.4166799999999995,5.1,5,0,6.041666666666666,7.444443333333333,5,,,,,,,,,,,,,2.0,6.722024920634921,Ágata,8.500020000000001,8.103174603174603,7.5,5.0,6.458333333333334,Não,6.777773333333331,5.0
Escola Pública,13,4,3F,Sim,8.539168666666667,A,Topázio,10.000020000000001,9.8,5,7,8125,9.333333333333332,10,3.0,Escola Pública,Ametista,8215,9.2,10.0,5.6,7.7,7.9,Sim,9.6,5.0,4.0,7.174196928571429,Ametista,8.75001,9.038690476190476,5625,5.566666666666666,7.65625,Não,7.7499975,5.0
Rede Decisão/União,17,3,6A,Não,7.1214596666666665,C,Ágata,8.33334,8.3,6875,6.333333333333333,7.65625,7.04167,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,12,1,3F,Não,8.832500666666666,A,Topázio,8.33334,9.6,7.5,8.666666666666666,8.958333333333332,8.5,10,3.0,Rede Decisão,Ametista,7751,8.3,7.2,7.5,6.0,8.1,Não,8.6,10.0,4.0,8.354717840548341,Topázio,10.00002,8.751352813852813,5625,7.688888888888889,8125,Sim,8.458337499999999,10.0
Escola Pública,16,3,6A,Não,5.518958,D,Quartzo,0,6.1,5625,4.5,5.78125,6.291665,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,14,1,3C,Não,6.658610666666666,C,Ágata,6.25,4.8,7.5,7.666666666666667,8125,7.388886666666666,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,13,4,4F,Não,7.355834833333334,B,Ametista,7.91667,5.8,7.5,5.666666666666667,8125,8.5416725,10,4.0,Escola Pública,Quartzo,4788,7.5,1.7,6.9,3.3,6.7,Não,3.5,10.0,4.0,6.874873274934217,Ágata,7.91667,7.10179526355997,7.5,5.611111111111112,7.65625,Não,7625,5.0
Escola Pública,14,1,3L,Não,7.718541500000001,B,Ametista,7.08333,9.4,7.5,8,7.96875,7.4166675,5,4.0,Escola Pública,Ágata,5636,5.8,5.6,0.0,6.4,8.3,Não,6.7,5.0,5.0,6.438413142857143,Ágata,8.33334,6.047619047619048,7.5,4.033333333333333,7.5,Não,7.944443333333334,5.0
Escola Pública,12,2,2R,Não,3.7799986666666667,D,Quartzo,0,2.9,6875,0,6.458333333333334,6.833326666666666,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,16,2,6B,Não,5.2162495,D,Quartzo,0,4.3,7.5,2,7.8125,7.1249975,10,7.0,Escola Pública,Quartzo,5143,8.8,4.2,0.0,2.0,7.7,Não,6.3,10.0,,,,,,,,,,,
Escola Pública,11,0,2D,Não,7.8425020000000005,B,Ametista,9.000020000000001,9.4,7.5,5,8125,7.5,10,2.0,Escola Pública,Ágata,6450,7.0,6.3,7.5,4.5,7.5,Não,8.0,5.0,,,,,,,,,,,
Escola Pública,9,1,0H,Sim,9.075004,A,Topázio,9.500020000000001,10,6.25,10,10,10.00001,5,1.0,Escola Pública,Ametista,7167,8.5,7.9,7.5,4.2,8.1,Sim,9.2,5.0,,,,,,,,,,,
Rede Decisão/União,13,3,5B,Não,8.213058666666669,B,Ametista,10.000020000000001,9.1,7.5,5.666666666666667,8.541666666666666,8.277783333333332,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,8,1,0H,Não,6.345836,C,Ágata,7.4166799999999995,10,4375,7,2.5,2.5833399999999997,10,0.0,Escola Pública,Ágata,5663,9.5,8.3,5.0,4.3,2.5,Não,4.7,5.0,0.0,6.344244591269144,Ágata,9.50002,8.944141289679047,4375,6.766666666666666,2.8125,Não,5.166655,5.0
Escola Pública,12,2,2P,Não,8.081669333333334,B,Ametista,9.000020000000001,9.7,5,9,8.749999999999998,7.833336666666668,5,3.0,Escola Pública,Topázio,8761,9.6,9.4,7.5,7.5,8.8,Não,8.9,10.0,,,,,,,,,,,
Escola Pública,9,1,1A,Não,8.874585000000002,A,Topázio,9.500020000000001,9.3,7.5,10,7.8125,7.666665,10,,,,,,,,,,,,,,,,,,,,,,,
UNISA,18,1,8A,,5.960001,D,Quartzo,8.75001,0,5625,7.4,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,1,1B,Sim,8.942503,A,Topázio,8.000020000000001,9.4,7.5,9.5,8125,9.000005,10,1.0,Escola Pública,Ametista,7765,8.5,8.8,7.5,7.1,8.1,Não,8.4,5.0,2.0,8.48808864197531,Topázio,6.91668,9.876543209876544,7.5,8.133333333333333,6.666666666666666,Sim,8.888893333333334,10.0
Escola Pública,11,1,2M,Não,7.832084999999999,B,Ametista,9.500020000000001,7.9,8.75,5,8.4375,7.916665,10,2.0,Escola Pública,Quartzo,4176,0.0,4.2,6.9,1.9,8.1,Não,4.8,5.0,2.0,5.810649259259259,Quartzo,10.00002,5.296296296296296,7.5,2.666666666666667,6.458333333333334,Não,6.611106666666666,5.0
Escola Pública,8,1,1F,Não,8.478752,A,Topázio,9.000020000000001,7.8,7.5,9.5,7.1875,8.25,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,1,1E,Não,6.59278,C,Ágata,9.000020000000001,5.2,6875,5,8.541666666666668,8.055556666666668,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,14,4,4B,Não,8.845558333333333,A,Topázio,9.58335,9.7,7.5,8.333333333333334,8.749999999999998,8.277783333333334,10,5.0,Rede Decisão,Ametista,7138,8.3,6.7,6.9,6.0,7.5,Não,6.7,10.0,5.0,6.957316284888314,Ágata,9.16668,7.085185035552683,5.0,7.388888888888888,8125,Não,6.6666675,5.0
Rede Decisão/União,11,2,2G,Não,7.849446666666667,B,Ametista,8.500020000000001,7.4,5625,7.5,8125,8.222223333333332,10,2.0,Rede Decisão,Quartzo,4617,0.0,4.2,5.6,4.3,7.1,Não,5.8,5.0,,,,,,,,,,,
Escola Pública,15,0,3L,Não,5.981250166666666,D,Quartzo,8.75001,3,7.5,6.333333333333333,7.8125,6.0416625,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,1,1H,Não,5.890556,D,Quartzo,7.33334,7.8,7.5,0,7.916666666666668,7.777776666666667,5,0.0,Escola Pública,Quartzo,5054,8.5,0.0,7.5,4.0,6.9,Não,7.3,5.0,0.0,6.025962871794872,Ágata,8.000020000000001,5.10897435897436,5.0,8.0,4375,Não,5.83333,5.0
Rede Decisão/União,14,4,3G,Não,5.0047223333333335,D,Quartzo,8.75001,6.1,4375,2.3333333333333335,5.833333333333333,4.611106666666667,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,16,1,6C,Não,5.9597921666666664,D,Quartzo,8.33334,3.7,5,4.333333333333333,7.03125,6.5833325,10,7.0,Escola Pública,Ametista,7698,9.2,8.6,6.9,5.4,8.0,Não,7.5,10.0,,,,,,,,,,,
Rede Decisão/União,12,1,3B,Não,8.125001833333334,B,Ametista,8.333350000000001,9,7.5,7.666666666666667,7.5,7.2916675,10,3.0,Rede Decisão,Ametista,7544,9.2,6.9,5.6,6.6,7.3,Não,8.1,10.0,4.0,6.922391887729286,Ágata,6.66666,7.725859160868649,6875,5.677777777777778,6875,Não,5.9999925,10.0
Escola Pública,13,1,2H,Não,6.492502,C,Ágata,9.000020000000001,8.4,5,4,5625,7.75,5,2.0,Escola Pública,Quartzo,3663,8.5,1.3,4.4,2.1,5.0,Não,3.5,5.0,,,,,,,,,,,
Escola Pública,11,3,1G,Não,7.285002,B,Ametista,9.000020000000001,8.8,6.25,9.5,2.5,6.75,5,2.0,Escola Pública,Quartzo,2860,7.9,0.4,5.6,0.0,4.1,Não,2.6,5.0,2.0,4.55608576514307,Quartzo,7.916679999999999,4.405425492382014,5.0,2.5,4.166666666666666,Não,4.83333,5.0
Escola Pública,11,2,1G,Não,6.707085000000001,C,Ágata,9.000020000000001,7.4,6.25,5.5,7.1875,6.916665,5,2.0,Escola Pública,Ágata,5833,8.5,5.4,7.5,2.9,7.1,Não,6.8,5.0,2.0,6.454070897064289,Ágata,9.000020000000001,8.325901151988107,6875,3.333333333333333,6.458333333333334,Não,6.944443333333333,5.0
Escola Pública,10,1,1J,Não,7.6391686666666665,B,Ametista,9.500020000000001,8.3,6875,8,7.083333333333333,7.666666666666666,5,1.0,Escola Pública,Ametista,7013,9.0,8.8,5.6,4.6,8.5,Não,7.7,5.0,1.0,6.736315131313132,Ágata,9.000020000000001,7.473232323232324,6875,5.25,6.041666666666667,Não,7.5,5.0
Escola Pública,9,1,1N,Não,8.575835333333334,A,Topázio,8.500020000000001,8.9,7.5,10,7.291666666666667,7.333333333333333,10,2.0,Escola Pública,Ametista,7976,9.0,6.7,7.5,7.3,8.5,Não,8.4,10.0,2.0,8.011927248035915,Ametista,8.000020000000001,7.906846240179574,7.5,7.833333333333334,6.25,Sim,8.444446666666668,10.0
Rede Decisão/União,17,1,7B,Sim,8.753335833333333,A,Topázio,9.16668,9.1,7.5,7.666666666666667,8.75,9.2916725,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,16,0,3A,Não,7.251668666666667,C,Ágata,9.16668,8.8,7.5,6.333333333333333,7.5,7.79167,2.5,4.0,Escola Pública,Ametista,6899,9.2,7.8,7.5,5.9,8.4,Não,7.0,2.5,,,,,,,,,,,
Rede Decisão/União,15,3,5F,Sim,8.221251333333335,B,Ametista,7.91667,9.2,5,6.666666666666667,9.0625,9.250005,10,6.0,Rede Decisão,Ametista,7903,9.2,6.9,7.5,7.7,7.8,Não,7.7,10.0,7.0,7.054851281182869,Ametista,8.75001,5.245783628136569,6.25,6.844444444444444,7.8125,Não,6.777773333333332,10.0
Rede Decisão/União,15,4,5B,Não,8.386113666666667,B,Ametista,9.58335,9.5,6875,6.333333333333333,8.958333333333332,8.388893333333336,10,6.0,Rede Decisão,Ametista,7694,7.9,7.8,7.5,6.5,8.0,Não,7.5,10.0,7.0,6.591127006535949,Ágata,0.0,7.947303921568628,5625,5.577777777777778,8125,Não,7.555553333333333,10.0
Escola Pública,15,1,4A,Não,7.630557666666667,B,Ametista,8.75001,10,6875,6,8125,7.777783333333335,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,1,1B,Não,8.336252,B,Ametista,8.500020000000001,8.9,5625,8.5,8.4375,8,10,2.0,Escola Pública,Ametista,7892,9.0,8.3,6.3,6.8,7.5,Não,8.0,10.0,2.0,7.834006201914523,Ametista,9.000020000000001,8.13529767623928,5625,7.0,6.666666666666666,Sim,8.38889,10.0
Rede Decisão/União,14,2,3J,Sim,8.370558666666668,B,Ametista,9.16668,9.7,5625,8,8.958333333333334,9.777786666666666,5,4.0,Rede Decisão,Ametista,8014,9.2,8.9,6.3,8.2,8.3,Não,8.6,5.0,4.0,7.798470369565218,Ametista,9.16668,9.72463768115942,5625,7.866666666666667,7.34375,Não,7.8333325,5.0
Escola Pública,11,1,1J,Não,7.099168666666667,C,Ágata,7.50002,8.6,7.5,5.75,7.291666666666667,7.5,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,3,3C,Não,7.1900010000000005,C,Ágata,6.66667,4.2,4375,8.666666666666666,8125,8.500003333333334,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,14,2,1R,Não,4.386945333333334,D,Quartzo,9.000020000000001,4.4,7.5,0,7.291666666666667,4.388883333333333,2.5,1.0,Escola Pública,Quartzo,4125,9.5,2.1,7.5,0.0,6.3,Não,4.4,5.0,1.0,6.683335555555555,Ágata,8.500020000000001,6.777777777777777,7.5,5.666666666666666,5.833333333333334,Não,7.555556666666667,5.0
Escola Pública,16,2,5A,Não,6.113055666666667,C,Ágata,7.91667,5.6,7.5,3.6666666666666665,7.291666666666667,7.444443333333334,5,5.0,Escola Pública,Ágata,6880,7.1,7.8,7.5,6.1,7.7,Não,6.9,5.0,,,,,,,,,,,
Escola Pública,13,3,3M,Não,6.399376666666667,C,Ágata,10.000020000000001,5.2,7.5,4.333333333333333,6.09375,5.666665,10,3.0,Escola Pública,Ágata,5815,8.8,5.8,6.3,3.4,6.9,Não,6.4,5.0,4.0,6.073162378787879,Ágata,8.33334,6.102272727272728,6.25,3.966666666666667,7.34375,Não,6.8333275,5.0
Escola Pública,12,2,1E,Não,8.018889999999999,B,Ametista,9.500020000000001,8.4,5625,10,7.708333333333334,7.777773333333332,5,1.0,Escola Pública,Ametista,8183,9.5,10.0,7.5,7.8,8.5,Não,7.8,5.0,1.0,7.305919652173913,Ametista,8.000020000000001,8.626811594202898,6875,8.25,6.041666666666667,Não,7.944443333333334,2.5
Escola Pública,17,1,5L,Não,8.240834333333334,B,Ametista,8.75001,9.6,9375,7.333333333333333,8.749999999999998,8.333333333333334,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,2,1F,Não,6.6462520000000005,C,Ágata,8.500020000000001,6.2,5,6.5,6.5625,8,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,14,0,3A,Não,7.901875833333333,B,Ametista,7.91667,9.9,7.5,7.666666666666667,7.96875,7.7500025,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,0,2D,Não,5.112502,D,Quartzo,9.500020000000001,0,7.5,1,8125,7,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,12,0,1G,Não,6.956252,C,Ágata,8.000020000000001,6,6875,7.5,7.1875,7.75,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,1,2H,Sim,8.302085,B,Ametista,7.4166799999999995,8.5,7.5,7.5,8.4375,8.833335,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,12,0,2C,Não,6.840002,C,Ágata,9.000020000000001,7.7,7.5,3.75,8.333333333333334,7.833333333333334,5,3.0,Rede Decisão,Ametista,8088,8.3,7.5,7.5,7.7,7.3,Não,8.7,10.0,4.0,8.107440578115117,Topázio,7.91667,8.724699557242252,7.5,7.333333333333333,8125,Não,7.708335,10.0
Escola Pública,15,1,4B,Sim,8.485558666666666,A,Topázio,10.000020000000001,9.9,6875,7.666666666666667,8.958333333333332,9.44445,5,,,,,,,,,,,,,6.0,8.676670333333334,Topázio,9.58335,8.75,10.0,7.966666666666666,8.75,Sim,10.00001,5.0
Escola Pública,14,1,5F,Não,4.4162505,D,Quartzo,6.66667,1.3,4375,0,7.1875,6.6666675,10,5.0,Escola Pública,Quartzo,3080,0.0,3.9,0.0,0.0,5.9,Não,3.5,10.0,5.0,3.845535880952381,Quartzo,7.08333,2.682539682539682,5.0,0.7222222222222222,5.3125,Não,4.6250025,5.0
Escola Pública,9,3,1D,Não,7.586252,B,Ametista,9.000020000000001,8.9,4375,7.25,4.6875,7.75,10,1.0,Escola Pública,Ágata,6771,9.0,7.1,7.5,6.9,7.5,Não,5.3,5.0,2.0,7.720835333333334,Ametista,9.000020000000001,8.166666666666668,7.5,6.5,6.041666666666667,Não,7.666666666666667,10.0
Escola Pública,10,0,2B,Não,7.713335,B,Ametista,9.000020000000001,8.9,7.5,5,7.5,7.666665,10,2.0,Escola Pública,Ametista,7221,9.5,7.9,7.5,3.6,7.3,Não,7.4,10.0,2.0,6.823047731379731,Ágata,10.00002,6.990231990231988,7.5,5.25,6.25,Não,7.499996666666666,5.0
Escola Pública,15,1,3J,Não,7.201112,C,Ágata,8.33334,8.7,4375,6,8125,8.38889,5,3.0,Escola Pública,Quartzo,4894,8.8,3.3,5.6,2.8,7.7,Não,6.1,2.5,,,,,,,,,,,
Escola Pública,11,2,1G,Não,6.3366690000000006,C,Ágata,8.500020000000001,6.6,5,6.5,5,6.833335,5,,,,,,,,,,,,,1.0,5.538561201058201,Quartzo,9.000020000000001,8.505291005291005,5.0,4.25,4375,Não,4.500005,2.5
Estácio,19,4,8A,,8.388334,B,Ametista,5.83334,10,5625,9.2,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
UNISA,18,1,8A,,6.776668000000001,C,Ágata,9.16668,0,7.5,8.4,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,1,1J,Não,8.848335333333335,A,Topázio,10.000020000000001,9.2,7.5,9.5,7.916666666666668,7.833333333333333,10,2.0,Escola Pública,Topázio,8289,9.0,9.2,7.5,6.3,8.5,Não,8.4,10.0,2.0,8.188103917267917,Topázio,9.000020000000001,7.919672919672919,7.5,8.0,6875,Não,8.333336666666668,10.0
Rede Decisão/União,13,2,2J,Não,7.361390666666666,B,Ametista,8.500020000000001,8.3,7.5,6.5,6.458333333333334,8.277776666666666,5,3.0,Rede Decisão,Ametista,7315,7.9,7.8,5.6,7.5,7.5,Não,8.3,5.0,4.0,6.916844597820308,Ágata,7.916679999999999,8.301236044657097,6.25,5.944444444444444,7.34375,Não,7.0833275,5.0
Escola Pública,17,1,7B,Não,3.8914599999999995,D,Quartzo,6.66667,1.4,4375,0,5.15625,4.95834,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,1,1G,Não,8.200002000000001,B,Ametista,8.500020000000001,6.5,7.5,10,7.5,7.75,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,1,2J,Não,8.508890666666668,A,Topázio,10.000020000000001,9.1,7.5,8.5,5.833333333333333,8.277776666666666,10,2.0,Rede Decisão,Ametista,7946,9.0,9.6,4.4,7.8,8.8,Não,8.8,5.0,3.0,7.278024793650793,Ametista,7.08333,8.19047619047619,5.0,6.777777777777778,7.34375,Não,6.70833,10.0
Escola Pública,8,0,0F,Não,7.9000010000000005,B,Ametista,7.50002,10,7.5,6.5,7.5,6.749995,10,0.0,Escola Pública,Ametista,7375,9.5,8.3,5.0,6.3,8.1,Não,8.4,5.0,1.0,7.073794270531402,Ametista,9.50002,8.743961352657005,5.0,6.833333333333333,5.416666666666667,Não,7.333333333333333,5.0
Escola Pública,13,1,4A,Sim,9.461114666666667,A,Topázio,9.16668,10,9375,8.666666666666666,8.958333333333332,9.8889,10,5.0,Rede Decisão,Topázio,8909,8.8,9.2,7.5,8.2,8.6,Sim,9.8,10.0,,,,,,,,,,,
Escola Pública,11,0,2M,Não,6.4275009999999995,C,Ágata,7.41668,7.7,7.5,0,8125,7.916665,10,,,,,,,,,,,,,3.0,5.671800072463768,Quartzo,6.66667,5.095108695652174,7.5,3.0,6.25,Não,5.055556666666665,10.0
Escola Pública,9,0,0B,Não,8.300001000000002,B,Ametista,9.000020000000001,10,7.5,10,7.5,6.999995,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,1,2B,Não,7.1833350000000005,C,Ágata,9.000020000000001,9.5,7.5,2,7.5,7.416665,10,2.0,Escola Pública,Ametista,7821,7.5,9.6,6.9,8.2,7.3,Não,8.0,5.0,,,,,,,,,,,
Escola Pública,16,1,6A,Não,4.9156245,D,Quartzo,4.58334,2,7.5,2,6.40625,6.3333275,10,7.0,Rede Decisão,Ametista,7891,8.3,7.5,5.6,7.6,8.3,Não,8.3,10.0,,,,,,,,,,,
Rede Decisão/União,11,4,1B,Não,6.053335000000001,D,Quartzo,8.000020000000001,9.1,5,4.5,2.5,6.416665,5,1.0,Rede Decisão,Quartzo,4976,7.4,7.1,4.4,3.3,3.8,Não,4.3,5.0,1.0,6.322731276895944,Ágata,6.91668,9.217813051146384,5.0,5.083333333333334,6.041666666666667,Não,5.833336666666666,5.0
Escola Pública,16,1,6A,Não,8.064375833333333,B,Ametista,8.75001,7.9,7.5,6.666666666666667,8.59375,8.333332500000001,10,7.0,Rede Decisão,Topázio,8252,8.3,8.1,6.9,7.9,8.3,Não,8.6,10.0,,,,,,,,,,,
Escola Pública,14,0,3M,Não,6.858541000000001,C,Ágata,7.5,4.1,7.5,9,7.96875,7.20833,5,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,17,3,7B,Não,7.9835415,B,Ametista,7.91667,8.6,7.5,7,7.96875,7.6249975,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,3,1F,Não,7.680002,B,Ametista,8.000020000000001,7.9,7.5,8.5,7.5,8,5,,,,,,,,,,,,,3.0,7.958056222222224,Ametista,8.33334,8.575000000000001,7.5,6.611111111111112,8125,Não,7625,10.0
Escola Pública,12,1,1H,Não,8.258057333333333,B,Ametista,9.500020000000001,9.2,7.5,10,7.291666666666667,7.444443333333333,5,1.0,Escola Pública,Topázio,8342,9.0,9.6,7.5,7.4,8.3,Sim,9.8,5.0,2.0,8.750002666666667,Topázio,9.50002,10.0,7.5,8.75,6.666666666666666,Não,8.166670000000002,10.0
Escola Pública,8,0,0B,Não,7.470837,B,Ametista,8.500020000000001,10,4375,9.5,2.5,5.166675,10,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,14,4,5B,Sim,8.952223333333334,A,Topázio,8.33334,9.9,10,7,9.166666666666666,9.111113333333332,10,5.0,Rede Decisão,Ametista,7661,7.5,8.1,7.5,7.3,8.8,Não,8.5,5.0,6.0,7.123577106726749,Ametista,0.0,7.580379978078188,8125,7.98888888888889,8.75,Sim,9.111116666666666,5.0
Escola Pública,17,2,7A,Não,5.9127081666666665,D,Quartzo,8.33334,2.1,7.5,4.333333333333333,7.34375,6.5416625,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,14,2,3C,Não,8.137224,B,Ametista,9.16668,9.7,7.5,7.333333333333333,8.749999999999998,8.444446666666668,5,3.0,Escola Pública,Ametista,7676,8.8,8.1,7.5,6.2,8.5,Sim,9.2,5.0,,,,,,,,,,,
Escola Pública,14,2,3C,Não,7.595277333333334,B,Ametista,8.33334,9.4,7.5,7,8.541666666666666,6.888883333333333,5,3.0,Escola Pública,Ametista,7800,8.8,8.1,7.5,7.0,8.3,Sim,9.1,5.0,5.0,5.717800478632479,Quartzo,8.33334,6.073717948717948,7.5,2.494444444444444,6875,Não,6.166670000000001,5.0
FIAP,19,2,8A,,9.096668,A,Topázio,9.16668,10,7.5,9.2,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,11,4,2B,Não,8.133752000000001,B,Ametista,9.000020000000001,9.2,5625,8,5.3125,8.5,10,2.0,Rede Decisão,Ametista,7392,8.5,6.7,7.5,7.6,7.5,Não,8.4,5.0,3.0,7.024874570707071,Ágata,0.0,8.825757575757576,4375,6.277777777777778,8.75,Sim,8.458337499999999,10.0
Escola Pública,16,0,3J,Sim,7.582500666666667,B,Ametista,7.5,8.1,7.5,8,8125,9.000003333333334,2.5,5.0,Escola Pública,Ametista,7070,8.3,8.1,6.9,6.0,8.0,Não,7.2,5.0,,,,,,,,,,,
Escola Pública,16,1,6A,Não,4.348541,D,Quartzo,0,3.8,5,0,6.71875,7.08333,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,8,1,0F,Não,8.5,A,Topázio,8.500020000000001,10,7.5,10,7.5,5.74999,10,1.0,Escola Pública,Ágata,6764,9.5,5.0,7.5,4.2,7.7,Não,7.3,10.0,1.0,5.72210322705314,Quartzo,9.000020000000001,7.041062801932369,7.5,1.333333333333333,5.416666666666667,Não,6.777776666666666,5.0
Escola Pública,8,1,1A,Não,8.418752000000001,B,Ametista,9.000020000000001,8,7.5,9.5,7.1875,7.75,10,1.0,Escola Pública,Quartzo,4925,7.9,3.8,7.5,0.0,7.5,Não,4.4,10.0,,,,,,,,,,,
Escola Pública,9,1,0D,Não,7.79167,B,Ametista,9.500020000000001,10,6.25,9.5,2.5,7.83334,5,1.0,Escola Pública,Ametista,7558,10.0,8.8,7.5,6.4,7.7,Não,7.5,5.0,1.0,6.589433478260871,Ágata,8.500020000000001,8.815217391304348,7.5,3.666666666666667,6.041666666666667,Não,6.94444,5.0
Escola Pública,10,0,0C,Sim,9.200004,A,Topázio,9.500020000000001,10,7.5,10,10,10.00001,5,1.0,Escola Pública,Quartzo,4414,8.0,3.3,7.5,0.4,6.9,Não,4.6,5.0,,,,,,,,,,,
Escola Pública,12,1,2G,Não,7.165556666666667,C,Ágata,10.000020000000001,8.3,6.25,6,7.916666666666668,6.944439999999998,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,15,4,4F,Não,4.656042,D,Quartzo,9.16668,3.4,4375,0,7.96875,6.624995,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,1,1N,Não,6.407502000000001,C,Ágata,7.50002,8.1,5,4,7.708333333333334,7.333333333333333,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,1,2F,Não,8.175279333333334,B,Ametista,8.500020000000001,9.3,7.5,7,7.708333333333334,7.722219999999999,10,2.0,Escola Pública,Ametista,7326,8.0,5.0,7.5,8.0,8.5,Sim,9.1,5.0,3.0,7.925542577808901,Ametista,8.33334,7.709305944600063,7.5,6.944444444444444,8.28125,Não,7.9166675,10.0
Escola Pública,9,1,1F,Não,5.668335,D,Quartzo,9.000020000000001,4.3,5625,0,8125,7.666665,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,1,1B,Não,7.813335,B,Ametista,9.000020000000001,9.9,4375,7.5,5625,7.166665,10,2.0,Escola Pública,Ágata,6306,0.0,7.5,4.4,4.7,7.1,Não,8.6,10.0,2.0,6.312788373897707,Ágata,7.416679999999999,6.869488536155202,4375,5.0,6.041666666666667,Não,5.77778,10.0
Rede Decisão/União,15,3,5G,Sim,8.396044333333334,B,Ametista,9.58335,9.6,5,6.666666666666667,8.59375,9.125005000000002,10,6.0,Rede Decisão,Ametista,7376,9.2,6.9,5.0,6.5,6.9,Não,7.9,10.0,7.0,5.951307967320262,Quartzo,8.75001,4.46764705882353,5625,5.011111111111111,5625,Não,5.277776666666666,10.0
Escola Pública,13,4,3F,Não,8.325834666666669,B,Ametista,9.16668,9.4,7.5,6.666666666666667,8125,8.166666666666668,10,4.0,Escola Pública,Ágata,6392,7.9,4.4,7.5,4.8,7.0,Não,6.5,10.0,,,,,,,,,,,
UNISA,18,1,8A,,8.695001000000001,B,Ametista,8.75001,10,7.5,8.3,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,13,1,3G,Sim,8.613335,A,Topázio,8.75001,9.9,7.5,6.5,8.75,9.166669999999998,10,3.0,Escola Pública,Ametista,8196,7.9,8.9,6.3,9.1,9.0,Não,8.9,5.0,4.0,7.692119104617605,Ametista,8.33334,7.780032467532467,5625,8.555555555555555,8125,Sim,8.5833375,5.0
Rede Decisão/União,17,3,7B,Não,7.379792666666667,B,Ametista,7.91667,7.8,5,7.333333333333333,5.78125,7.41667,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,12,3,2E,Não,6.816668000000001,C,Ágata,9.000020000000001,8,5,6,7.5,6.83333,5,2.0,Escola Pública,Ágata,6360,8.0,5.4,7.5,4.9,7.5,Não,7.4,5.0,,,,,,,,,,,
